case_id,case_type,dataset,family,test_length,candidate_index,true_label,final_lane,primary_score,primary_threshold,cross_check_1,cross_check_2,auxiliary_evidence,selection_reason,source_result_file
01_명확한_자동_경보_TP_1,명확한 자동 경보 TP,ACSF1_normal_0,ACSF1,50,49,1,자동 경보,14.073386961358834,2.5200739472839433,1차 독립 특징 score=14.0734; threshold=2.52007; exceeds=1,교차 확인 특징 score=13.0174; threshold=10.849; exceeds=1,보조 확인 score=10.4132; threshold=1.52147; exceeds=1; q_effective=0,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
02_명확한_자동_경보_TP_2,명확한 자동 경보 TP,ECGFiveDays_normal_1,ECGFiveDays,450,441,1,자동 경보,1.0776152581664034,0.437473619902585,1차 독립 특징 score=1.07762; threshold=0.437474; exceeds=1,교차 확인 특징 score=1.09773; threshold=0.545271; exceeds=1,보조 확인 score=0.978191; threshold=0.505396; exceeds=1; q_effective=0.00849858,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
03_명확한_자동_경보_TP_3,명확한 자동 경보 TP,FreezerRegularTrain_normal_1,FreezerRegularTrain,1500,1472,1,자동 경보,1.186659621966869,0.5245387943755746,1차 독립 특징 score=1.25061; threshold=0.474459; exceeds=1,교차 확인 특징 score=1.67946; threshold=0.523785; exceeds=1,보조 확인 score=1.24735; threshold=1.16909; exceeds=1; q_effective=0.01,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
04_기존_후보에서_일반_검토로_이동한_FP_1,기존 후보에서 일반 검토로 이동한 FP,ACSF1_normal_5,ACSF1,50,2,0,일반 검토,65.14506157668521,195.28414607924688,1차 독립 특징 score=65.1451; threshold=195.284; exceeds=0,교차 확인 특징 score=67.8078; threshold=203.671; exceeds=0,보조 확인 score=12.6968; threshold=38.7114; exceeds=0; q_effective=0,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
05_기존_후보에서_일반_검토로_이동한_FP_2,기존 후보에서 일반 검토로 이동한 FP,Computers_normal_1,Computers,250,19,0,일반 검토,0.2572730963706029,0.8403673060082072,1차 독립 특징 score=0.257273; threshold=0.840367; exceeds=0,교차 확인 특징 score=0.207681; threshold=0.888282; exceeds=0,보조 확인 score=0.216084; threshold=0.94274; exceeds=0; q_effective=0.01,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
06_기존_후보에서_일반_검토로_이동한_FP_3,기존 후보에서 일반 검토로 이동한 FP,ChlorineConcentration_normal_1,ChlorineConcentration,1000,0,0,일반 검토,-1.759666420839996,0.7010787751213186,1차 독립 특징 score=-1.75967; threshold=0.701079; exceeds=0,교차 확인 특징 score=-1.55739; threshold=0.589795; exceeds=0,보조 확인 score=-1.52018; threshold=1.14118; exceeds=0; q_effective=0.01,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
07_일반_검토_TP_1,일반 검토 TP,Adiac_normal_18,Adiac,50,49,1,일반 검토,0.28252327440320746,1.3830317625916135,1차 독립 특징 score=0.282523; threshold=1.38303; exceeds=0,교차 확인 특징 score=0.22184; threshold=1.0628; exceeds=0,보조 확인 score=0.1378; threshold=1.44365; exceeds=0; q_effective=0,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
08_일반_검토_TP_2,일반 검토 TP,DistalPhalanxOutlineAgeGroup_normal_3,DistalPhalanxOutlineAgeGroup,300,298,1,일반 검토,0.5527985612215759,1.2139804623923047,1차 독립 특징 score=0.552799; threshold=1.21398; exceeds=0,교차 확인 특징 score=0.189803; threshold=1.09161; exceeds=0,보조 확인 score=0.0963582; threshold=1.01636; exceeds=0; q_effective=0.0077821,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
09_일반_검토_TP_3,일반 검토 TP,ElectricDevices_normal_7,ElectricDevices,1300,1276,1,일반 검토,0.26024046861581146,0.7007779377637909,1차 독립 특징 score=0.255917; threshold=0.664784; exceeds=0,교차 확인 특징 score=0.165775; threshold=0.66179; exceeds=0,보조 확인 score=0.148902; threshold=0.670154; exceeds=0; q_effective=0.01,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
10_자동_경보_FP_1,자동 경보 FP,ACSF1_normal_6,ACSF1,50,2,0,자동 경보,104.77311401722334,15.820035313053792,1차 독립 특징 score=104.773; threshold=15.82; exceeds=1,교차 확인 특징 score=84.7642; threshold=9.5482; exceeds=1,보조 확인 score=83.988; threshold=4.79822; exceeds=1; q_effective=0,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
11_자동_경보_FP_2,자동 경보 FP,MelbournePedestrian_normal_2,MelbournePedestrian,350,70,0,자동 경보,2.5423702306235096,1.0417021321449667,1차 독립 특징 score=2.54237; threshold=1.0417; exceeds=1,교차 확인 특징 score=1.39066; threshold=1.0442; exceeds=1,보조 확인 score=1.77133; threshold=2.15864; exceeds=0; q_effective=0.00684932,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
12_자동_경보_FP_3,자동 경보 FP,Yoga_normal_1,Yoga,1550,239,0,자동 경보,2.3151780226632326,1.2448763862451844,1차 독립 특징 score=1.982; threshold=1.19516; exceeds=1,교차 확인 특징 score=1.98564; threshold=1.04655; exceeds=1,보조 확인 score=1.61978; threshold=1.35835; exceeds=1; q_effective=0.01,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
13_우선_검토_TP_1,우선 검토 TP,GesturePebbleZ1_normal_2,GesturePebbleZ1,50,49,1,우선 검토,0.4848968324913315,0.3159944363500451,1차 독립 특징 score=0.484897; threshold=0.315994; exceeds=1,교차 확인 특징 score=0.506308; threshold=0.383049; exceeds=1,보조 확인 score=0.49899; threshold=0.354439; exceeds=1; q_effective=0,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
14_우선_검토_TP_2,우선 검토 TP,GesturePebbleZ2_normal_3,GesturePebbleZ2,50,49,1,우선 검토,1.0295985559402114,0.4490045077249718,1차 독립 특징 score=1.0296; threshold=0.449005; exceeds=1,교차 확인 특징 score=0.916448; threshold=0.370017; exceeds=1,보조 확인 score=0.723599; threshold=0.38046; exceeds=1; q_effective=0,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
15_우선_검토_TP_3,우선 검토 TP,FacesUCR_normal_13,FacesUCR,300,294,1,우선 검토,0.8510387488637093,0.4987879666750255,1차 독립 특징 score=0.851039; threshold=0.498788; exceeds=1,교차 확인 특징 score=0.983702; threshold=0.535941; exceeds=1,보조 확인 score=0.920865; threshold=0.512551; exceeds=1; q_effective=0.00766284,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
16_최종_FN_1,최종 FN,DistalPhalanxOutlineAgeGroup_normal_2,DistalPhalanxOutlineAgeGroup,150,148,1,알림 없음,-0.12172773629578364,0.38475924949484674,1차 독립 특징 score=-0.121728; threshold=0.384759; exceeds=0,교차 확인 특징 score=-0.113728; threshold=0.400244; exceeds=0,보조 확인 score=-0.110515; threshold=0.50626; exceeds=0; q_effective=0.00729927,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
17_최종_FN_2,최종 FN,ChlorineConcentration_normal_1,ChlorineConcentration,1000,980,1,알림 없음,0.3912241158987471,0.7010787751213186,1차 독립 특징 score=0.391224; threshold=0.701079; exceeds=0,교차 확인 특징 score=0.452832; threshold=0.589795; exceeds=0,보조 확인 score=0.358834; threshold=1.14118; exceeds=0; q_effective=0.01,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
18_최종_FN_3,최종 FN,FordA_normal_1,FordA,2400,2353,1,알림 없음,0.011421505857763211,0.23816101931875394,1차 독립 특징 score=-0.0139739; threshold=0.22156; exceeds=0,교차 확인 특징 score=0.0609598; threshold=0.21174; exceeds=0,보조 확인 score=0.0134909; threshold=0.228142; exceeds=0; q_effective=0.01,후향 발표 설명용: 동일 유형 안에서 test length와 family가 가능한 한 겹치지 않도록 층화 선택,experiment_137_operational_triage_results.csv
