file,sha256,retrospective_or_prospective,autonomous_or_human_assisted
01_evaluation_contract.json,7393c476e9d33182398a3c51bcb69fbc03942ad4bb61c5defb20b69ebe0cdae4,retrospective_counterfactual,hard_autonomous_review_human_assisted
02_virtual_run_grain_audit.csv,5d6d8f69bcea17fbb3069fb056b84d485bbe18ea6dc42df20e5338df50051eb3,retrospective_counterfactual,hard_autonomous_review_human_assisted
03_exp151_current_source_predictions.jsonl,0c53c0f09252fbfd25ad108fc69309ee1cc67c7f23bc7c22bfc072cecc02b11a,retrospective_counterfactual,hard_autonomous_review_human_assisted
04_exp152_b2_source_predictions.jsonl,9684f6bae6e561535f190969a4c71b1f258c97d0b7cf9899b8d9147a74c13499,retrospective_counterfactual,hard_autonomous_review_human_assisted
05_prediction_manifest.json,bce61baee9f08a68e1bebef5b74ec93b230ed18634a66798b2baa293cb372b48,retrospective_counterfactual,hard_autonomous_review_human_assisted
06_exp151_current_source_results.csv,0152529912b6e9abe11d27ce82700423ad89009c4ff38ec27934ec12501ee22f,retrospective_counterfactual,hard_autonomous_review_human_assisted
07_exp151_current_source_summary.csv,c972dc67b8bd6f628553356dfa0b164a9e6e18e9319375d35d52e93c4bf51042,retrospective_counterfactual,hard_autonomous_review_human_assisted
08_exp151_current_source_summary.md,f3a380013cca7cc27631495a36f817763cc5e13047f27f948e6f6121d3c4f4dc,retrospective_counterfactual,hard_autonomous_review_human_assisted
09_exp152_b2_source_results.csv,eb38c4828b3d5e699db42aedf0e229a108144e66834ab491a4429e7bd649208f,retrospective_counterfactual,hard_autonomous_review_human_assisted
10_exp152_b2_source_summary.csv,fa10f5ac3b03f90ee73d87aa4a81b0fd6f2173927533cc54b37631b6711757aa,retrospective_counterfactual,hard_autonomous_review_human_assisted
11_exp152_b2_source_summary.md,592afef07fc64e89e2a7757487113a7890721fabc19c86b7c206ae07ad9da642,retrospective_counterfactual,hard_autonomous_review_human_assisted
12_alpha_sensitivity_comparison.csv,57a0c599d00ab4f99607e85208c7aacee12e490601f95e2cd6e6450067bbbf74,retrospective_counterfactual,hard_autonomous_review_human_assisted
13_dataset_level_candidate_diff.csv,040ea03a27984ac242b13b52a371bd99eda5f5f6ed7a3815c1bda9980fd2c563,retrospective_counterfactual,hard_autonomous_review_human_assisted
14_invariance_test_log.txt,c39c88100a3b6b5a07400fd4f9264af9dcb67d8bf0752a29fda6fee19edc8cbc,retrospective_counterfactual,hard_autonomous_review_human_assisted
15_presentation_claims.md,0da5902221100bef46e70075756c77e19ce57f763c61b8692a8aaaddb33b6e4d,retrospective_counterfactual,hard_autonomous_review_human_assisted
16_independent_reaggregation.csv,addf044fc1eefc7e3618dc6d8385c1cf62e7249303ce20dfff4c548e2ebade4e,retrospective_counterfactual,hard_autonomous_review_human_assisted
17_independent_consistency_report.md,4322ae8ec6365289aca1e9de1edb8831afea9fe27296ef0b846b6e07c4199dc8,retrospective_counterfactual,hard_autonomous_review_human_assisted
prediction_checkpoint_v2.jsonl,ffa124238b8382bb9118a04bf1e82dce72e6dc622b6133f5e3dba36949d298af,retrospective_counterfactual,hard_autonomous_review_human_assisted
